P17_001,P17_002,P17_003,P17_004,lon,lat
町田消防署忠生出張所,"13209","3",町田市忠生3-6-1,139.4191890000,35.5765740000
町田消防署鶴川出張所,"13209","3",町田市鶴川3-2-4,139.4669350000,35.5900190000
町田消防署南出張所,"13209","3",町田市金森1700,139.4673530000,35.5240260000
小金井消防署,"13210","2",小金井市本町6-6-1,139.5034820000,35.6993400000
小金井消防署緑町出張所,"13210","3",小金井市緑町2-2-42,139.5213970000,35.7056170000
小平消防署,"13211","2",小平市仲町21,139.4802890000,35.7306970000
小平消防署花小金井出張所,"13211","3",小平市花小金井6-12-1,139.5078970000,35.7303360000
小平消防署小川出張所,"13211","3",小平市小川町1-208-1,139.4490860000,35.7310010000
日野消防署（仮庁舎）,"13212","2",日野市万願寺4-20-12,139.4144710100,35.6703054800
日野消防署高幡出張所,"13212","3",日野市高幡714,139.4137140000,35.6593420000
日野消防署豊田出張所,"13212","3",日野市東平山3-1-23,139.3788830000,35.6544810000
東村山消防署,"13213","2",東村山市美住町2-28-16,139.4507350000,35.7528880000
東村山消防署秋津出張所,"13213","3",東村山市秋津町2-31-41,139.4916470000,35.7704700000
東村山消防署本町出張所,"13213","3",東村山市本町1-1-2,139.4687610000,35.7552490000
国分寺消防署,"13214","2",国分寺市本多1-7-15,139.4825950000,35.7057830000
国分寺消防署戸倉出張所,"13214","3",国分寺市新町1-14-8,139.4515700000,35.7110870000
国分寺消防署西元出張所,"13214","3",国分寺市西元町1-13-31,139.4701800000,35.6943950000
立川消防署国立出張所,"13215","3",国立市富士見台3-1-2,139.4409610000,35.6873670000
立川消防署谷保出張所,"13215","3",国立市富士見台1-44-5,139.4512930000,35.6833680000
福生消防署,"13218","2",福生市福生1072,139.3245800000,35.7439970000
福生消防署熊川出張所,"13218","3",福生市熊川1297,139.3419400000,35.7294990000
狛江消防署,"13219","2",狛江市和泉本町1-23-10,139.5765890000,35.6405150000
狛江消防署猪方出張所,"13219","3",狛江市猪方2-5-16,139.5843120000,35.6271560000
北多摩西部消防署,"13220","2",東大和市上北台1-956-1,139.4132110000,35.7473320000
北多摩西部消防署東大和出張所,"13220","3",東大和市仲原3-2-6,139.4381530000,35.7462770000
清瀬消防署,"13221","2",清瀬市中清戸2-850-1,139.5276720000,35.7841080000
